Vendor,Category,Amount,Date,Description
"Office Supplies Ltd",Materials,3200,2024-01-10,"Materiały biurowe Q1"
"IT Services Pro",Services,8500,2024-01-15,"Wsparcie IT - styczeń"
"Freelancer Jan Kowalski",Labor,4500,2024-01-20,"Prace programistyczne"
"Marketing Agency",Marketing,6200,2024-01-25,"Kampania online"
"Office Rent",Rent,5000,2024-02-01,"Wynajem biura - luty"
"IT Services Pro",Services,8500,2024-02-15,"Wsparcie IT - luty"
"Cloud Provider",Infrastructure,1200,2024-02-18,"Hosting i serwery"
"Freelancer Anna Nowak",Labor,3800,2024-02-22,"Prace graficzne"
"Office Supplies Ltd",Materials,2100,2024-02-25,"Materiały biurowe"
"Office Rent",Rent,5000,2024-03-01,"Wynajem biura - marzec"
"IT Services Pro",Services,8500,2024-03-15,"Wsparcie IT - marzec"
"Freelancer Jan Kowalski",Labor,5200,2024-03-18,"Prace programistyczne"
"Marketing Agency",Marketing,4800,2024-03-20,"Kampania email"
"Cloud Provider",Infrastructure,1350,2024-03-22,"Hosting i serwery"
"Legal Services",Services,2400,2024-03-25,"Konsultacje prawne"
"Office Supplies Ltd",Materials,1800,2024-03-28,"Materiały biurowe"
