Client Name,Amount,Date,Invoice Number
"Firma ABC Sp. z o.o.",15000,2024-01-15,FV/2024/001
"Tech Solutions Poland",8500,2024-01-18,FV/2024/002
"Kawiarnia Na Rogu",2400,2024-01-22,FV/2024/003
"Firma ABC Sp. z o.o.",12000,2024-02-05,FV/2024/004
"Sklep Zosia",1800,2024-02-10,FV/2024/005
"Tech Solutions Poland",9200,2024-02-14,FV/2024/006
"Biuro Rachunkowe BETA",4500,2024-02-20,FV/2024/007
"Kawiarnia Na Rogu",2200,2024-03-01,FV/2024/008
"Firma ABC Sp. z o.o.",18000,2024-03-08,FV/2024/009
"Tech Solutions Poland",7800,2024-03-12,FV/2024/010
"Sklep Zosia",1950,2024-03-15,FV/2024/011
"Restauracja Smak",6700,2024-03-18,FV/2024/012
"Biuro Rachunkowe BETA",4200,2024-03-22,FV/2024/013
"Kawiarnia Na Rogu",2600,2024-03-25,FV/2024/014
"Firma ABC Sp. z o.o.",14500,2024-03-28,FV/2024/015
