Client,Description,Amount,Date
TechCorp Sp. z o.o.,Website Redesign Project,8500.00,2026-01-15
WebStudio Kraków,E-commerce Platform Development,12000.00,2026-01-18
TechCorp Sp. z o.o.,Monthly Maintenance Contract,1200.00,2026-01-31
LocalBiz Solutions,Mobile App Development,15000.00,2026-02-05
TechCorp Sp. z o.o.,Security Audit & Consultation,3500.00,2026-02-10
WebStudio Kraków,Content Management System Upgrade,4800.00,2026-02-14
StartUp Ventures,API Development & Integration,9500.00,2026-02-20
TechCorp Sp. z o.o.,Monthly Maintenance Contract,1200.00,2026-02-28
LocalBiz Solutions,Bug Fixes & Optimization,2800.00,2026-03-08
WebStudio Kraków,Database Optimization,5200.00,2026-03-12
TechCorp Sp. z o.o.,Additional Feature Development,4500.00,2026-03-15
StartUp Ventures,Training & Documentation,3000.00,2026-03-18
LocalBiz Solutions,Performance Tuning & Monitoring,3500.00,2026-03-25
WebStudio Kraków,Monthly Maintenance Contract,900.00,2026-03-31
TechCorp Sp. z o.o.,Monthly Maintenance Contract,1200.00,2026-03-31
