Vendor,Category,Amount,Date
AWS/Cloud Services,Infrastructure & Hosting,450.00,2026-01-05
JetBrains,Software Licenses,199.00,2026-01-10
Atlassian,Software Licenses,300.00,2026-01-15
Microsoft Azure,Cloud Services,280.00,2026-01-20
Office Depot,Office Supplies,125.50,2026-01-25
AWS/Cloud Services,Infrastructure & Hosting,450.00,2026-02-05
Adobe Creative Suite,Software Licenses,89.99,2026-02-08
GitHub Enterprise,Software Licenses,231.00,2026-02-10
Slack,Communication Tools,129.00,2026-02-15
Energy Provider,Utilities,340.00,2026-02-20
Internet Provider,Utilities,120.00,2026-02-25
AWS/Cloud Services,Infrastructure & Hosting,450.00,2026-03-05
Office 365,Software Licenses,99.00,2026-03-10
Figma,Design Tools,144.00,2026-03-12
Adobe Stock,Design Resources,55.00,2026-03-15
Equipment Rental,Office Equipment,200.00,2026-03-20
Domain Registrar,Domain & SSL,45.99,2026-03-25
